Diesel, Benzin E10,Benzin E5, LPG, Uhrzeit, Tanlstelle
1.53,1.64,1.70,0.78,2021-11-06 14:26:59.808988,21974
1.53,1.64,1.70,0.78,2021-11-06 14:27:44.703922,21974
1.56,1.69,1.75,0.75,2021-11-06 14:27:46.237633,10063
1.56,1.68,1.71,0.83,2021-11-06 14:27:47.540250,37955
1.56,1.68,1.74,0.86,2021-11-06 14:27:48.779249,40018
1.53,1.64,1.70,0.78,2021-11-06 14:33:14.395561,21974
1.56,1.69,1.75,0.75,2021-11-06 14:33:15.801300,10063
1.56,1.68,1.71,0.83,2021-11-06 14:33:16.856977,37955
1.56,1.68,1.74,0.86,2021-11-06 14:33:18.023981,40018
1.53,1.64,1.70,0.78,2021-11-06 14:34:30.006394,21974
1.56,1.69,1.75,0.75,2021-11-06 14:34:31.795441,10063
1.56,1.68,1.71,0.83,2021-11-06 14:34:33.213739,37955
1.56,1.68,1.74,0.86,2021-11-06 14:34:34.515466,40018
1.53,1.64,1.70,0.78,2021-11-06 14:34:40.662187,21974
1.56,1.69,1.75,0.75,2021-11-06 14:34:41.702338,10063
1.56,1.68,1.71,0.83,2021-11-06 14:34:42.867273,37955
1.56,1.68,1.74,0.86,2021-11-06 14:34:43.953891,40018
1.53,1.64,1.70,0.78,2021-11-06 14:34:50.254446,21974
1.56,1.69,1.75,0.75,2021-11-06 14:34:52.141095,10063
1.56,1.68,1.71,0.83,2021-11-06 14:34:53.509954,37955
1.56,1.68,1.74,0.86,2021-11-06 14:34:55.266702,40018
1.53,1.64,1.70,0.78,2021-11-06 14:35:01.512159,21974
1.56,1.69,1.75,0.75,2021-11-06 14:35:03.855885,10063
1.56,1.68,1.71,0.83,2021-11-06 14:35:05.474279,37955
1.56,1.68,1.74,0.86,2021-11-06 14:35:06.640723,40018
1.56,1.68,1.74,0.78,2021-11-06 16:24:04.384493,21974
1.59,1.71,1.77,0.75,2021-11-06 16:24:05.872461,10063
1.56,1.68,1.71,0.83,2021-11-06 16:24:07.104290,37955
1.56,1.67,1.73,0.86,2021-11-06 16:24:13.671002,40018
1.56,1.68,1.74,0.78,2021-11-06 16:34:15.116860,21974
1.59,1.71,1.77,0.75,2021-11-06 16:34:16.593100,10063
1.56,1.68,1.71,0.83,2021-11-06 16:34:21.727546,37955
1.56,1.67,1.73,0.86,2021-11-06 16:34:24.593684,40018
1.56,1.68,1.74,0.78,2021-11-06 16:44:25.864034,21974
1.59,1.71,1.77,0.75,2021-11-06 16:44:27.352285,10063
1.56,1.68,1.71,0.83,2021-11-06 16:44:28.545319,37955
1.56,1.67,1.73,0.86,2021-11-06 16:44:29.666793,40018
1.55,1.65,1.71,0.78,2021-11-06 16:54:32.028915,21974
1.59,1.70,1.76,0.75,2021-11-06 16:54:33.791848,10063
1.56,1.68,1.71,0.83,2021-11-06 16:54:34.934460,37955
1.56,1.67,1.73,0.86,2021-11-06 16:54:36.510679,40018
1.55,1.65,1.71,0.78,2021-11-06 17:04:37.990154,21974
1.59,1.69,1.75,0.75,2021-11-06 17:04:39.932036,10063
1.56,1.68,1.71,0.83,2021-11-06 17:04:41.573888,37955
1.56,1.67,1.73,0.86,2021-11-06 17:04:43.605038,40018
1.54,1.63,1.69,0.78,2021-11-06 17:14:45.462858,21974
1.59,1.69,1.75,0.75,2021-11-06 17:14:46.580048,10063
1.56,1.68,1.71,0.83,2021-11-06 17:14:47.967901,37955
1.56,1.67,1.73,0.86,2021-11-06 17:14:49.419137,40018
1.54,1.63,1.69,0.78,2021-11-06 17:24:52.354444,21974
1.61,1.71,1.77,0.75,2021-11-06 17:24:54.248504,10063
1.56,1.68,1.71,0.83,2021-11-06 17:24:55.905918,37955
1.56,1.67,1.73,0.86,2021-11-06 17:24:57.422481,40018
1.54,1.63,1.69,0.78,2021-11-06 17:34:58.637390,21974
1.61,1.71,1.77,0.75,2021-11-06 17:35:00.298546,10063
1.56,1.68,1.71,0.83,2021-11-06 17:35:02.884684,37955
1.56,1.67,1.73,0.86,2021-11-06 17:35:05.218680,40018
1.56,1.65,1.71,0.78,2021-11-06 17:45:07.273214,21974
1.61,1.71,1.77,0.75,2021-11-06 17:45:08.656947,10063
1.56,1.68,1.71,0.83,2021-11-06 17:45:10.269387,37955
1.56,1.67,1.73,0.86,2021-11-06 17:45:11.533430,40018
1.54,1.63,1.69,0.78,2021-11-06 17:55:13.298565,21974
1.61,1.71,1.77,0.75,2021-11-06 17:55:17.381504,10063
1.56,1.68,1.71,0.83,2021-11-06 17:55:19.681273,37955
1.56,1.67,1.73,0.86,2021-11-06 17:55:23.693048,40018
1.54,1.63,1.69,0.78,2021-11-06 18:05:30.070535,21974
1.61,1.71,1.77,0.75,2021-11-06 18:05:31.159572,10063
1.56,1.68,1.71,0.83,2021-11-06 18:05:32.603698,37955
1.56,1.67,1.73,0.86,2021-11-06 18:05:33.659387,40018
1.54,1.63,1.69,0.78,2021-11-06 18:15:35.329625,21974
1.58,1.69,1.75,0.75,2021-11-06 18:15:37.492080,10063
1.55,1.67,1.70,0.83,2021-11-06 18:15:38.961645,37955
1.56,1.67,1.73,0.86,2021-11-06 18:15:40.023217,40018
1.54,1.63,1.69,0.78,2021-11-06 18:25:41.786204,21974
1.58,1.68,1.74,0.75,2021-11-06 18:25:42.808323,10063
1.55,1.67,1.70,0.83,2021-11-06 18:25:45.444654,37955
1.56,1.67,1.73,0.86,2021-11-06 18:25:46.506087,40018
1.54,1.63,1.69,0.78,2021-11-06 18:35:48.093550,21974
1.59,1.68,1.74,0.75,2021-11-06 18:35:49.507528,10063
1.55,1.67,1.70,0.83,2021-11-06 18:35:50.713144,37955
1.56,1.67,1.73,0.86,2021-11-06 18:35:51.870208,40018
1.54,1.63,1.69,0.78,2021-11-06 18:45:53.165067,21974
1.57,1.68,1.74,0.75,2021-11-06 18:45:57.620641,10063
1.55,1.67,1.70,0.83,2021-11-06 18:45:59.072239,37955
1.56,1.67,1.73,0.86,2021-11-06 18:46:00.321501,40018
1.52,1.62,1.68,0.78,2021-11-06 18:56:02.243875,21974
1.57,1.68,1.74,0.75,2021-11-06 18:56:03.338546,10063
1.55,1.67,1.70,0.83,2021-11-06 18:56:04.369599,37955
1.56,1.67,1.73,0.86,2021-11-06 18:56:07.245825,40018
1.52,1.62,1.68,0.78,2021-11-06 19:19:43.763609,21974
1.61,1.71,1.77,0.75,2021-11-06 19:19:45.107679,10063
1.55,1.67,1.70,0.83,2021-11-06 19:19:46.076124,37955
1.56,1.67,1.73,0.86,2021-11-06 19:19:47.076136,40018
1.52,1.62,1.68,0.78,2021-11-06 19:29:48.832294,21974
1.61,1.71,1.77,0.75,2021-11-06 19:29:50.186880,10063
1.55,1.67,1.70,0.83,2021-11-06 19:29:51.282952,37955
1.56,1.67,1.73,0.86,2021-11-06 19:29:52.126131,40018
1.56,1.65,1.71,0.78,2021-11-06 19:39:53.208916,21974
1.61,1.71,1.77,0.75,2021-11-06 19:39:54.539551,10063
1.55,1.67,1.70,0.83,2021-11-06 19:39:55.813298,37955
1.58,1.70,1.76,0.86,2021-11-06 19:39:56.927042,40018
1.56,1.66,1.72,0.78,2021-11-06 19:50:02.401190,21974
1.61,1.71,1.77,0.75,2021-11-06 19:50:03.924235,10063
1.55,1.67,1.70,0.83,2021-11-06 19:50:05.736564,37955
1.58,1.70,1.76,0.86,2021-11-06 19:50:07.268027,40018
1.56,1.66,1.72,0.78,2021-11-06 20:00:08.486307,21974
1.61,1.71,1.77,0.75,2021-11-06 20:00:13.019219,10063
1.55,1.67,1.70,0.83,2021-11-06 20:00:15.820618,37955
1.58,1.70,1.76,0.86,2021-11-06 20:00:17.394262,40018
1.56,1.65,1.71,0.78,2021-11-06 20:10:19.864103,21974
1.60,1.70,1.76,0.75,2021-11-06 20:10:25.827007,10063
1.55,1.67,1.70,0.83,2021-11-06 20:10:29.270769,37955
1.58,1.70,1.76,0.86,2021-11-06 20:10:33.020750,40018
1.55,1.65,1.71,0.78,2021-11-06 20:22:54.514237,21974
1.56,1.67,1.73,0.75,2021-11-06 20:22:55.522583,10063
1.55,1.67,1.70,0.83,2021-11-06 20:22:56.665665,37955
1.58,1.70,1.76,0.86,2021-11-06 20:22:57.632130,40018
1.55,1.65,1.71,0.78,2021-11-06 20:32:59.446004,21974
1.56,1.67,1.73,0.75,2021-11-06 20:33:00.624944,10063
1.55,1.67,1.70,0.83,2021-11-06 20:33:01.711452,37955
1.56,1.68,1.74,0.86,2021-11-06 20:33:08.588959,40018
1.55,1.65,1.71,0.78,2021-11-06 20:43:09.851463,21974
1.56,1.67,1.73,0.75,2021-11-06 20:43:11.527531,10063
1.55,1.67,1.70,0.83,2021-11-06 20:43:12.964813,37955
1.56,1.68,1.74,0.86,2021-11-06 20:43:13.996665,40018
1.55,1.65,1.71,0.78,2021-11-06 20:53:15.541491,21974
1.56,1.67,1.73,0.75,2021-11-06 20:53:16.796507,10063
1.55,1.67,1.70,0.83,2021-11-06 20:53:18.047485,37955
1.55,1.68,1.74,0.86,2021-11-06 20:53:19.131888,40018
1.53,1.63,1.69,0.78,2021-11-06 21:03:21.371166,21974
1.56,1.67,1.73,0.75,2021-11-06 21:03:23.153414,10063
1.55,1.67,1.70,0.83,2021-11-06 21:03:24.801431,37955
1.55,1.68,1.74,0.86,2021-11-06 21:03:25.747915,40018
1.53,1.63,1.69,0.78,2021-11-06 21:13:26.762287,21974
1.56,1.67,1.73,0.75,2021-11-06 21:13:27.811004,10063
1.55,1.67,1.70,0.83,2021-11-06 21:13:29.326992,37955
1.55,1.68,1.74,0.86,2021-11-06 21:13:34.280264,40018
1.53,1.63,1.69,0.78,2021-11-06 21:23:35.504915,21974
1.56,1.67,1.73,0.75,2021-11-06 21:23:36.702977,10063
1.55,1.67,1.70,0.83,2021-11-06 21:23:37.613369,37955
1.55,1.68,1.74,0.86,2021-11-06 21:23:38.546608,40018
1.53,1.63,1.69,0.78,2021-11-06 21:33:39.588817,21974
1.56,1.67,1.73,0.75,2021-11-06 21:33:40.706381,10063
1.55,1.67,1.70,0.83,2021-11-06 21:33:42.127864,37955
1.55,1.68,1.74,0.86,2021-11-06 21:33:43.382193,40018
1.53,1.63,1.69,0.78,2021-11-06 21:43:44.415367,21974
1.56,1.67,1.73,0.75,2021-11-06 21:43:46.550572,10063
1.55,1.67,1.70,0.83,2021-11-06 21:43:47.553642,37955
1.55,1.68,1.74,0.86,2021-11-06 21:43:48.643259,40018
1.53,1.63,1.69,0.78,2021-11-06 21:53:49.548311,21974
1.56,1.67,1.73,0.75,2021-11-06 21:53:50.848362,10063
1.55,1.67,1.70,0.83,2021-11-06 21:53:51.925880,37955
1.55,1.67,1.73,0.86,2021-11-06 21:53:52.832572,40018
1.53,1.63,1.69,0.78,2021-11-06 22:03:54.043489,21974
